epoch,time,train/box_loss,train/seg_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(M),metrics/recall(M),metrics/mAP50(M),metrics/mAP50-95(M),val/box_loss,val/seg_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
114,491.789,0.43364,0.84077,0.40705,0.91065,0.93092,0.93817,0.95851,0.85981,0.94355,0.87517,0.92467,0.80813,0.43285,1.37566,0.53071,0.92787,0.00151336,0.00151336,0.00151336
115,496.067,0.48044,0.89287,0.43509,0.93818,0.93091,0.93176,0.95772,0.85843,0.90079,0.90427,0.92556,0.81281,0.42594,1.41619,0.53853,0.9341,0.00144161,0.00144161,0.00144161
116,500.443,0.43317,0.82789,0.40477,0.93467,0.93237,0.92535,0.95298,0.85989,0.88067,0.9235,0.92099,0.799,0.42154,1.47009,0.54912,0.93492,0.00137143,0.00137143,0.00137143
117,504.065,0.43927,0.85232,0.41028,0.93345,0.92984,0.93176,0.95541,0.86109,0.89806,0.89786,0.92378,0.80169,0.41762,1.49861,0.5332,0.93314,0.00130287,0.00130287,0.00130287
118,507.716,0.4265,0.7636,0.38862,0.92445,0.93836,0.93518,0.96544,0.86293,0.88709,0.90596,0.9271,0.8063,0.41055,1.53332,0.51333,0.92695,0.00123596,0.00123596,0.00123596
119,512.484,0.44546,0.8529,0.38814,0.91829,0.94393,0.94133,0.97037,0.86679,0.91091,0.898,0.93725,0.81338,0.41305,1.5545,0.48647,0.92073,0.00117072,0.00117072,0.00117072
120,516.395,0.4312,0.77739,0.38088,0.925,0.93545,0.94408,0.97207,0.8716,0.92925,0.89145,0.93797,0.82017,0.40683,1.60426,0.45201,0.91569,0.00110718,0.00110718,0.00110718
121,520.278,0.4439,0.90554,0.40343,0.9236,0.92758,0.93831,0.96975,0.87654,0.93579,0.89145,0.93744,0.82072,0.4036,1.63095,0.44124,0.92074,0.00104537,0.00104537,0.00104537
122,525.162,0.44021,0.86177,0.3896,0.92598,0.93526,0.93485,0.9674,0.86902,0.90652,0.89878,0.93527,0.81953,0.40403,1.62341,0.44037,0.92513,0.000985311,0.000985311,0.000985311
123,529.015,0.41729,0.79464,0.38001,0.92059,0.92639,0.93817,0.96626,0.87042,0.90368,0.89561,0.93374,0.81779,0.40601,1.59146,0.45634,0.92666,0.00092704,0.00092704,0.00092704
124,532.822,0.43865,0.82802,0.39678,0.92791,0.92725,0.92724,0.96042,0.8665,0.91336,0.88641,0.92819,0.81597,0.40428,1.60857,0.48511,0.92989,0.000870577,0.000870577,0.000870577
125,537.635,0.41456,0.7867,0.39235,0.92673,0.93586,0.92561,0.9609,0.864,0.91374,0.88504,0.92373,0.81438,0.3983,1.61688,0.50442,0.92649,0.000815947,0.000815947,0.000815947
